DO Number,Referenzbeleg,Date,Client Order Reference,Courier,Tracking Reference,Comission,Comission 2,
KL592547,KA525364,08.08.19,2468567830,GLS Normalpaket,352559719780,,,,
KL588303,KA519575,08.08.19,028-7672020-6291507,GLS Normalpaket,352559719056,04429719193243,,,
KL592554,KA525359,08.08.19,2468482950,GLS Normalpaket,352559719797,,,,
KL588235,KA519639,08.08.19,302-3423236-8705136,GLS Normalpaket,352559719063,55575875914443,,,
KL592570,KA525343,08.08.19,2468101090,GLS Normalpaket,352559719803,,,,
KL597238,KA528288,08.08.19,2471858720,GLS Normalpaket,352559720212,,,,
KL588236,KA519639,08.08.19,302-3423236-8705136,GLS Normalpaket,352559719070,55575875914443,,,
KL588139,KA519727,08.08.19,303-2824918-8473911,GLS Normalpaket,352559719087,20170284530563,,,
KL592861,KA523447,08.08.19,302-0462692-8995539,GLS Normalpaket,352559719469,67757839158523,,,
KL597392,KA528331,08.08.19,2472656540,GLS Normalpaket,352559720229,,,,
KL594816,KA523155,08.08.19,028-1080663-3176332,GLS Normalpaket,352559719827,49493063110979,,,
KL594018,KA524029,08.08.19,304-1704626-9537962,GLS Normalpaket,352559719476,65254152356619,,,
KL586006,KA518183,08.08.19,303-6741086-0109107,GLS Normalpaket,352559720465,66101104819211,,,
KL593745,KA524277,08.08.19,305-2376086-0837168,GLS Normalpaket,352559719483,65326013053251,,,
KL588962,KA520627,08.08.19,sand-MHGZ7H4,GLS Normalpaket,352559720472,,,,
KL588285,KA519592,08.08.19,028-9301876-4761141,GLS Normalpaket,352559720489,41034567162059,,,
KL590176,KA521719,08.08.19,1090102775,GLS Normalpaket,352560297130,,,,
KL594636,KA523315,08.08.19,028-6462787-3297101,GLS Normalpaket,352559719834,18405289258715,,,
KL594608,KA523343,08.08.19,028-7635808-3191559,GLS Normalpaket,352559719841,28833772250979,,,
KL593700,KA524315,08.08.19,305-3770310-8693102,GLS Normalpaket,352559719490,62125279716939,,,
KL594458,KA523647,08.08.19,302-8163553-1696343,GLS Normalpaket,352559719858,19674115825155,,,
KL589657,KA520880,08.08.19,302-7710803-0782753,GLS Normalpaket,352559720502,35022947037419,,,
KL589146,KA521036,08.08.19,304-1229446-7947513,GLS Normalpaket,352559720519,45079686829155,,,
KL593686,KA524327,08.08.19,305-4153329-9180366,GLS Normalpaket,352559719506,62048307301691,,,
KL594378,KA523710,08.08.19,303-0037226-7125129,GLS Normalpaket,352559719865,18550686009371,,,
KL594325,KA523757,08.08.19,303-1655171-9241909,GLS Normalpaket,352559719872,45652995200635,,,
KL593560,KA524444,08.08.19,305-8567297-3120319,GLS Normalpaket,352559719513,69117075425163,,,
KL584974,KA515328,08.08.19,028-3086449-0697147,GLS Normalpaket,352559720595,10193334344931,,,
KL593370,KA524613,08.08.19,306-5451060-7091516,GLS Normalpaket,352559719520,52056075267811,,,
KL592203,KA525121,08.08.19,sand-173784315462-2042763320007,GLS Normalpaket,352559720656,,,,
KL594153,KA523907,08.08.19,303-7068979-9346706,GLS Normalpaket,352559719889,54017786110691,,,
KL593260,KA524708,08.08.19,306-8778394-7746710,GLS Normalpaket,352559719537,15553765804763,,,
KL593870,KA524161,08.08.19,304-7395427-3362752,GLS Normalpaket,352559719896,35093632701859,,,
KL592202,KA525121,08.08.19,sand-173784315462-2042763320007,GLS Normalpaket,352559720663,,,,
